"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","first_question_page","response","stimulus","item_type","question_order"
"true","1974","fullscreen","0","null","2982","ptwd2r0rpo0","moral","nate","","","",""
"","16257","survey-html-form","1","2.0.0","19242","ptwd2r0rpo0","moral","nate","{""pid"":""antelope"",""age"":""21"",""gender"":""Male""}","","",""
"","1240","html-button-response","2","2.0.0","20484","ptwd2r0rpo0","moral","nate","0","<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>","",""
"","24494","html-button-response","3","2.0.0","44981","ptwd2r0rpo0","moral","nate","0","<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br> <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p> <br><br>  <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","moral",""
"","13778","survey-likert","4","2.0.0","58762","ptwd2r0rpo0","moral","nate","{""manipulation_check_nate"":4,""manipulation_check_justin"":4}","","","[1,0]"
"","48219","survey-likert","5","2.0.0","106982","ptwd2r0rpo0","moral","nate","{""nate-upset"":3,""nate-conflicted"":3,""nate-standards"":3,""nate-reservations"":3,""nate-certain"":3,""nate-far"":3,""nate-calm"":3,""nate-principles"":3,""nate-deep"":3}","","","[8,0,6,1,2,3,7,4,5]"
"","197534","survey-likert","6","2.0.0","304511","ptwd2r0rpo0","moral","nate","{""justin-reservations"":6,""justin-calm"":5,""justin-conflicted"":6,""justin-upset"":3,""justin-certain"":5,""justin-principles"":3,""justin-far"":5,""justin-standards"":3,""justin-deep"":6}","","","[1,7,0,8,2,4,3,6,5]"
"","19518","survey-text","7","null","324037","ptwd2r0rpo0","moral","nate","{""Q0"":""relationship between nate or justin "",""Q1"":""nate "",""Q2"":"""",""Q3"":""""}","","",""
