"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","first_question_page","response","stimulus","item_type","question_order"
"true","972","fullscreen","0","null","1991","ppum649q6lo","immoral","nate","","","",""
"","11596","survey-html-form","1","2.0.0","13596","ppum649q6lo","immoral","nate","{""pid"":""manatee"",""age"":""21"",""gender"":""Male""}","","",""
"","7381","html-button-response","2","2.0.0","20981","ppum649q6lo","immoral","nate","0","<p>Welcome to the study! In this experiment, you will read about two individuals, Justin and Nate.</p>
                <p>After each story, you will be asked to evaluate their actions and character through a series of questions.</p> 
               <p>Please read the stories carefully and answer the questions to the best of your ability.</p>
               <p>Click 'Continue' to proceed.</p>","",""
"","36384","html-button-response","3","2.0.0","57368","ppum649q6lo","immoral","nate","0","<p style='width:900px;margin: auto;'><b>Justin</b> and <b>Nate</b> were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <br><br>  <p style='width:900px;margin: auto;'> <b>Justin</b> saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p> <br><br> <p style='width:900px;margin: auto;'> In contrast, <b>Nate</b> saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>","immoral",""
"","12337","survey-likert","4","2.0.0","69710","ppum649q6lo","immoral","nate","{""manipulation_check_justin"":6,""manipulation_check_nate"":2}","","","[0,1]"
"","42686","survey-likert","5","2.0.0","112403","ppum649q6lo","immoral","nate","{""nate-deep"":5,""nate-reservations"":4,""nate-calm"":4,""nate-upset"":2,""nate-standards"":2,""nate-conflicted"":4,""nate-far"":4,""nate-certain"":4,""nate-principles"":2}","","","[5,1,7,8,6,0,3,2,4]"
"","30522","survey-likert","6","2.0.0","142931","ppum649q6lo","immoral","nate","{""justin-certain"":0,""justin-upset"":0,""justin-standards"":1,""justin-conflicted"":6,""justin-deep"":4,""justin-calm"":6,""justin-reservations"":0,""justin-far"":0,""justin-principles"":2}","","","[2,8,6,0,5,7,1,3,4]"
"","121081","survey-text","7","null","264026","ppum649q6lo","immoral","nate","{""Q0"":""Testing our ability to judge character."",""Q1"":""Nate"",""Q2"":""Finding a wallet filled with several hundred dollars is a huge deal; that kind of money can finance rent or food for a month. The source of his anguish was likely that very fact - despite knowing what the morally correct decision was, he ultimately saw what he could do with the money and chose to pocket it."",""Q3"":""""}","","",""
